customerid,full_name,age,gender,country,joindate,purchase_amount
1289,Selena Fox,57.0,Female,USA,2023-05-09,321.46
1290,Melanie Middleton,44.0,Male,USA,2023-11-06,121.34
1291,Laura Brooks,24.0,Female,USA,2024-09-23,355.64
1292,Lee Goodman,62.0,Male,USA,2025-03-18,330.75
1293,Ryan Johnson,54.0,Male,USA,2023-10-15,210.95
1294,Rhonda Graham,51.0,Male,USA,2024-09-21,347.77
1295,Michael Cannon,37.0,Male,USA,2023-12-05,151.21
1296,Cody Humphrey,53.0,Male,USA,2023-08-30,476.49
1297,Amber Adams,25.0,Female,USA,2023-11-28,437.74
1298,Rose Hart,52.0,Male,USA,2025-03-24,340.68
1299,Craig Kelley,39.0,Male,USA,2024-07-07,457.2
1300,Angela Stephens,63.0,Female,USA,2024-12-05,
1301,Debbie Stuart,44.0,Female,USA,2023-10-17,471.25
1302,Thomas Graham,33.0,Female,USA,2024-07-16,345.74
1303,Sarah Williams,22.0,Male,USA,2023-05-08,362.59
1304,Joshua Lee,63.0,Male,USA,2023-06-03,144.51
1305,Natasha Guzman,,Female,USA,2024-06-19,225.44
1306,Jennifer Reid,28.0,Female,USA,2024-10-19,168.75
1307,James Allen,63.0,Male,USA,2023-06-27,221.13
1308,Dawn Schmitt,37.0,Male,USA,2023-06-25,183.6
1309,Emily Moon,62.0,Male,USA,2023-04-30,
1310,Stacy Watson,40.0,Female,USA,2024-08-26,411.59
1311,Frank Wilson,47.0,Male,USA,2023-12-06,264.23
1312,Daniel Wise,19.0,Female,USA,2024-04-07,255.13
1313,Nicole Miller,31.0,Male,USA,2024-09-07,189.72
1314,Shannon Bennett,26.0,Male,USA,2024-05-09,119.6
1315,Marissa Allen,53.0,Female,USA,2024-06-03,215.69
1316,James Smith,49.0,Male,USA,2023-04-12,481.32
1317,David Webb,57.0,Female,USA,2024-03-23,156.29
1318,Dawn Jones,58.0,Female,USA,2024-08-03,298.41
1319,Kimberly Peterson,58.0,Male,USA,2024-10-13,300.22
1320,Anthony Burns,59.0,Female,USA,2024-08-13,435.27
1321,Paula Hernandez,36.0,Male,USA,2023-04-27,279.2
1322,James Wilson,33.0,Male,USA,2023-06-05,131.86
1323,Olivia Mitchell,22.0,Female,USA,2024-02-25,129.87
1324,Mary Garner,62.0,Male,USA,2024-07-03,218.11
1325,Elizabeth Lewis,65.0,Female,USA,2024-01-07,230.45
1326,Jennifer Kelly,24.0,Female,USA,2023-11-02,328.51
1327,Mark Bowman,52.0,Male,USA,2025-02-02,363.63
1328,Michael Leon,,Female,USA,2023-08-16,
1329,Justin Robinson,65.0,Male,USA,2023-07-31,
1330,Alexis Ryan,18.0,Female,USA,2023-07-19,135.36
1331,Thomas Garcia,21.0,Female,USA,2025-01-17,323.54
1332,Roy Weaver,36.0,Female,USA,2023-07-20,139.59
1333,Nicole Howard,48.0,Female,USA,2023-12-29,493.88
1334,David Hubbard,52.0,Female,USA,2025-03-07,171.62
1335,Corey Cardenas,39.0,Female,USA,2023-08-27,395.36
1336,Betty Harmon,30.0,Male,USA,2023-07-10,470.18
1337,Caitlyn Johnson,62.0,Male,USA,2025-02-19,322.69
1338,Greg Taylor,47.0,Female,USA,2024-06-02,
1339,Donald Copeland,35.0,Male,USA,2024-01-19,360.72
1340,Jessica Marshall,48.0,Male,USA,2024-02-10,220.34
1341,Brian Fuentes,25.0,Male,USA,2024-01-07,
1342,Paul Pacheco,25.0,Male,USA,2024-01-17,367.86
1343,Melissa Salazar,49.0,Male,USA,2025-01-19,233.55
1344,Kevin Davis,46.0,Male,USA,2023-10-27,
1345,Sean Johnson,30.0,Male,USA,2023-11-22,335.96
1346,Caroline Davis,58.0,Male,USA,2023-10-12,424.85
1347,Lisa Howard,24.0,Male,USA,2024-06-28,230.45
1348,Kyle Gardner,57.0,Female,USA,2024-04-11,489.33
1349,Michelle Alvarez,60.0,Male,USA,2024-03-21,111.45
1350,Brian Galvan,38.0,Male,USA,2025-03-07,253.54
1351,Regina West,25.0,Male,USA,2024-04-01,199.38
1352,Hannah Price,31.0,Female,USA,2024-11-08,396.57
1353,Dale Guzman,42.0,Female,USA,2024-02-08,242.17
1354,Madison Dalton,65.0,Male,USA,2024-11-01,278.93
1355,Dr. Ryan Cruz,63.0,Male,USA,2024-07-18,172.98
1356,Trevor Garcia,57.0,Male,USA,2024-01-01,265.72
1357,Gary Knight,33.0,Female,USA,2023-11-18,387.07
1358,Teresa Taylor,26.0,Male,USA,2024-11-14,374.67
1359,Nathan Patel,23.0,Male,USA,2024-01-13,220.31
1360,Jermaine Davis,29.0,Female,USA,2024-02-18,
1361,Roger Gonzalez,37.0,Female,USA,2024-02-07,366.46
1362,Ann Lane,28.0,Female,USA,2023-08-08,370.22
1363,Vanessa Moore,40.0,Male,USA,2024-12-19,463.41
1364,Leslie Stevens,18.0,Male,USA,2025-02-11,387.44
1365,Jacqueline Rogers,21.0,Female,USA,2024-07-22,348.57
1366,Sherri Arnold,64.0,Female,USA,2023-05-02,142.48
1367,Frank Ford,58.0,Female,USA,2023-10-31,383.85
1368,Russell Jimenez,56.0,Male,USA,2023-05-24,174.79
1369,Lucas Thomas,65.0,Female,USA,2025-03-12,378.6
1370,Emily Smith,28.0,Female,USA,2023-09-05,
1371,Charles Cruz,,Female,USA,2024-01-17,
1372,Michael Diaz,46.0,Male,USA,2023-07-28,351.74
1373,Zachary Lawson,47.0,Female,USA,2023-10-28,118.65
1374,Elizabeth Williams,37.0,Male,USA,2023-12-14,405.85
1375,Erin Waller,52.0,Female,USA,2025-01-30,484.7
1376,Jenna Sanchez,38.0,Female,USA,2024-04-08,232.03
1377,Debra Myers,25.0,Female,USA,2023-09-14,
1378,David Gross,54.0,Female,USA,2023-06-21,200.46
1379,Elizabeth Robertson Md,44.0,Male,USA,2024-03-15,460.59
1380,Jennifer Weiss,60.0,Male,USA,2024-08-24,432.15
1381,Joshua Murray,37.0,Male,USA,2024-05-23,264.43
1382,Donald Smith,31.0,Female,USA,2024-10-12,169.49
1383,Randall Richardson,61.0,Female,USA,2024-02-25,278.52
1384,Jodi Gray,57.0,Female,USA,2024-07-05,253.31
1385,Angela Frederick,21.0,Female,USA,2024-05-15,125.92
1386,Roberta Schultz,44.0,Male,USA,2024-03-28,493.57
1387,Amanda Carter,58.0,Male,USA,2024-04-02,232.52
1388,Danny Burton,33.0,Female,USA,2024-10-23,
1389,Lindsey Brown,41.0,Female,USA,2023-08-17,278.0
1390,Joan Jenkins,26.0,Male,USA,2023-08-09,323.53
1391,Stephen Doyle,63.0,Female,USA,2024-12-01,127.77
1392,Krista Warner Dds,47.0,Female,USA,2025-01-13,
1393,Paula Pope,32.0,Female,USA,2025-02-25,267.15
1394,Christopher Skinner,59.0,Male,USA,2023-06-03,
1395,Matthew Cochran,33.0,Male,USA,2023-06-04,
1396,David Williams,46.0,Male,USA,2024-02-22,291.37
1397,Amy Williams,51.0,Male,USA,2024-10-24,316.13
1398,Christopher Wood,60.0,Female,USA,2025-04-06,128.23
1399,Morgan Francis,41.0,Female,USA,2023-11-16,454.89
1011,Arthur Davis,43.0,Male,USA,2024-09-05,344.96
1000,Michael Sanders,51.0,Male,USA,2023-08-01,439.35
1201,Brian Jones,48.0,Male,USA,2025-02-15,147.56
1312,Scott West,19.0,Female,USA,2024-04-07,255.13
1199,Christine Russell,65.0,Male,USA,2023-09-02,239.11
1103,Amy Torres,41.0,Male,USA,2023-05-18,304.98
1336,Sandra Taylor,30.0,Male,USA,2023-07-10,470.18
1109,Chad Thomas,33.0,Male,USA,2024-08-04,122.72
1082,Kelly Hancock,34.0,Female,USA,2024-02-22,480.83
1309,Kathleen Durham,62.0,Male,USA,2023-04-30,
1111,Paige Hansen,63.0,Female,USA,2023-09-08,
1116,Joseph Gordon,34.0,Female,USA,2024-03-29,306.96
1016,Juan Perez,60.0,Female,USA,2023-10-28,140.19
1062,Katelyn Macdonald,57.0,Male,USA,2024-09-12,
1396,Michael Reyes,46.0,Male,USA,2024-02-22,291.37
1266,Paula Bailey,,Male,USA,2023-09-09,369.45
1301,Mariah Herman,44.0,Female,USA,2023-10-17,471.25
1184,Jeffery Brown,53.0,Male,USA,2023-11-05,229.44
1260,Natasha Wyatt,41.0,Male,USA,2024-08-17,305.19
1120,Kelly Gutierrez,31.0,Male,USA,2024-07-11,400.1
